Unix Time UTC,SPL at 63 Hz [dB]
1775865780,25.65
1775865785,26.55
1775865790,25.1
1775865795,26.43
1775865800,23.35
1775865805,25.82
1775865810,25.42
1775865815,25.8
1775865820,25.24
1775865825,25.23
1775865830,24.35
