wav,time_s,spl_db
20260411_000400.wav,1775865840.000000,22.879267
20260411_000400.wav,1775865850.000000,23.432887
20260411_000400.wav,1775865860.000000,22.695564
20260411_000400.wav,1775865870.000000,22.730049
20260411_000400.wav,1775865880.000000,22.211553
20260411_000500.wav,1775865900.000000,22.330926
20260411_000500.wav,1775865910.000000,22.526070
20260411_000500.wav,1775865920.000000,21.769220
20260411_000500.wav,1775865930.000000,23.302173
20260411_000500.wav,1775865940.000000,21.854250
20260411_000600.wav,1775865960.000000,22.309339
20260411_000600.wav,1775865970.000000,22.155290
20260411_000600.wav,1775865980.000000,21.825735
20260411_000600.wav,1775865990.000000,23.031772
20260411_000600.wav,1775866000.000000,21.814657
20260411_000700.wav,1775866020.000000,22.006646
20260411_000700.wav,1775866030.000000,21.271513
20260411_000700.wav,1775866040.000000,22.444376
20260411_000700.wav,1775866050.000000,22.877476
20260411_000700.wav,1775866060.000000,21.410084
