wav,time_s,spl_db
20260411_000400.wav,1775865840.000000,30.922923
20260411_000400.wav,1775865850.000000,21.953503
20260411_000400.wav,1775865860.000000,21.615396
20260411_000400.wav,1775865870.000000,22.468784
20260411_000400.wav,1775865880.000000,22.674887
20260411_000500.wav,1775865900.000000,21.548167
20260411_000500.wav,1775865910.000000,22.076991
20260411_000500.wav,1775865920.000000,21.961376
20260411_000500.wav,1775865930.000000,22.011266
20260411_000500.wav,1775865940.000000,21.574071
20260411_000600.wav,1775865960.000000,21.470226
20260411_000600.wav,1775865970.000000,21.950012
20260411_000600.wav,1775865980.000000,22.026848
20260411_000600.wav,1775865990.000000,33.705034
20260411_000600.wav,1775866000.000000,24.046610
20260411_000700.wav,1775866020.000000,22.321091
20260411_000700.wav,1775866030.000000,21.916764
20260411_000700.wav,1775866040.000000,23.055326
20260411_000700.wav,1775866050.000000,22.077617
20260411_000700.wav,1775866060.000000,23.062373
