wav,time_s,spl_db
20260411_000400.wav,1775865840.000000,104.611830
20260411_000400.wav,1775865850.000000,101.022628
20260411_000400.wav,1775865860.000000,104.853516
20260411_000400.wav,1775865870.000000,109.196076
20260411_000400.wav,1775865880.000000,99.589531
20260411_000500.wav,1775865900.000000,100.111691
20260411_000500.wav,1775865910.000000,100.911640
20260411_000500.wav,1775865920.000000,104.438790
20260411_000500.wav,1775865930.000000,99.555925
20260411_000500.wav,1775865940.000000,100.609680
20260411_000600.wav,1775865960.000000,109.032633
20260411_000600.wav,1775865970.000000,98.417129
20260411_000600.wav,1775865980.000000,101.720297
20260411_000600.wav,1775865990.000000,101.624283
20260411_000600.wav,1775866000.000000,101.695824
20260411_000700.wav,1775866020.000000,107.228291
20260411_000700.wav,1775866030.000000,105.727962
20260411_000700.wav,1775866040.000000,101.951252
20260411_000700.wav,1775866050.000000,101.373466
20260411_000700.wav,1775866060.000000,103.304125
